project,bug_id,fix_lines,nonfix_lines
Compress,12,23,3
Compress,13,67,4
Compress,14,35,22
Compress,15,26,0
Compress,16,28,15
Compress,17,28,4
Compress,18,58,6
Compress,19,14,7
Compress,20,26,31
Compress,21,114,0
Compress,22,125,71
Compress,23,18,5
Compress,24,20,19
Compress,25,7,6
Compress,26,95,14
Compress,27,13,4
Compress,28,33,5
Compress,29,274,135
Compress,30,36,5
Compress,31,9,2
Compress,32,25,6
Compress,33,20,21
Compress,34,27,22
Compress,35,14,4
Compress,36,28,0
Compress,37,20,5
Compress,38,17,5
Compress,39,23,6
Compress,40,78,18
Compress,41,50,2
Compress,42,15,9
Compress,43,197,75
Compress,44,32,3
Compress,45,3,0
Compress,46,87,23
Compress,47,31,17
Csv,1,3,18
Csv,2,112,11
Csv,3,20,36
Csv,4,8,2
Csv,5,12,3
Csv,6,9,3
Csv,7,9,0
Csv,8,11,13
Csv,9,13,20
Csv,10,12,27
Csv,11,8,1
Csv,12,283,16
Csv,13,313,6
Csv,14,70,3
Csv,15,17,3
Csv,16,63,87
Gson,1,121,10
Gson,2,57,49
Gson,3,78,32
Gson,4,126,18
Gson,5,2,5
Gson,6,64,6
Gson,7,42,4
Gson,8,87,6
Gson,9,31,7
Gson,10,52,31
Gson,11,6,0
Gson,12,53,5
Gson,13,14,0
Gson,14,97,8
Gson,15,28,3
Gson,16,30,24
Gson,17,17,6
Gson,18,22,1
JacksonCore,1,26,31
JacksonCore,2,137,64
JacksonCore,3,30,8
JacksonCore,4,20,4
JacksonCore,5,8,7
JacksonCore,6,21,7
JacksonCore,7,155,131
JacksonCore,8,15,0
JacksonCore,9,77,10
JacksonCore,10,34,41
JacksonCore,11,1,6
JacksonCore,12,17,22
JacksonCore,13,64,72
JacksonCore,14,13,9
JacksonCore,15,38,19
JacksonCore,16,75,46
JacksonCore,17,135,80
JacksonCore,18,87,34
JacksonCore,19,40,13
JacksonCore,20,607,119
JacksonCore,21,2,39
JacksonCore,22,142,13
JacksonCore,23,26,3
JacksonCore,24,105,53
JacksonCore,25,46,7
JacksonCore,26,44,7
JacksonDatabind,1,18,10
JacksonDatabind,2,130,24
JacksonDatabind,3,18,0
JacksonDatabind,4,51,231
JacksonDatabind,5,55,5
JacksonDatabind,6,85,18
JacksonDatabind,7,55,18
JacksonDatabind,8,18,18
JacksonDatabind,9,14,28
JacksonDatabind,10,72,832
JacksonDatabind,11,115,51
JacksonDatabind,12,50,13
JacksonDatabind,13,75,17
JacksonDatabind,14,97,12
JacksonDatabind,15,73,50
JacksonDatabind,16,1,15
JacksonDatabind,17,20,10
JacksonDatabind,18,138,119
JacksonDatabind,19,50,2
JacksonDatabind,20,61,3
JacksonDatabind,21,86,13
JacksonDatabind,22,96,205
JacksonDatabind,23,89,36
JacksonDatabind,24,25,6
JacksonDatabind,25,34,31
JacksonDatabind,26,10,171
JacksonDatabind,27,12,6
JacksonDatabind,28,33,24
JacksonDatabind,29,29,57
JacksonDatabind,30,74,174
JacksonDatabind,31,178,23
JacksonDatabind,32,38,19
JacksonDatabind,33,35,11
JacksonDatabind,34,147,40
JacksonDatabind,35,94,39
JacksonDatabind,36,53,158
JacksonDatabind,37,1,22
JacksonDatabind,38,34,308
JacksonDatabind,39,48,27
JacksonDatabind,40,37,20
JacksonDatabind,41,27,7
JacksonDatabind,42,36,7
JacksonDatabind,43,30,15
JacksonDatabind,44,32,16
JacksonDatabind,45,79,19
JacksonDatabind,46,44,6
JacksonDatabind,47,11,20
JacksonDatabind,48,46,10
JacksonDatabind,49,37,12
JacksonDatabind,50,362,29
JacksonDatabind,51,94,26
JacksonDatabind,52,16,163
JacksonDatabind,53,93,55
JacksonDatabind,54,39,14
JacksonDatabind,55,61,16
JacksonDatabind,56,21,5
JacksonDatabind,57,52,6
JacksonDatabind,58,47,16
JacksonDatabind,59,46,26
JacksonDatabind,60,181,64
JacksonDatabind,61,51,14
JacksonDatabind,62,8,60
JacksonDatabind,63,59,55
JacksonDatabind,64,70,18
JacksonDatabind,65,6,15
JacksonDatabind,66,40,10
JacksonDatabind,67,60,7
JacksonDatabind,68,50,42
JacksonDatabind,69,55,44
JacksonDatabind,70,58,13
JacksonDatabind,71,12,1
JacksonDatabind,72,34,13
JacksonDatabind,73,8,15
JacksonDatabind,74,35,0
JacksonDatabind,75,14,24
JacksonDatabind,76,268,47
JacksonDatabind,77,56,9
JacksonDatabind,78,65,27
JacksonDatabind,79,73,18
JacksonDatabind,80,64,56
JacksonDatabind,81,67,13
JacksonDatabind,82,60,44
JacksonDatabind,83,5,20
JacksonDatabind,84,7,3
JacksonDatabind,85,51,58
JacksonDatabind,86,58,1
JacksonDatabind,87,39,24
JacksonDatabind,88,72,7
JacksonDatabind,89,100,6
JacksonDatabind,90,51,28
JacksonDatabind,91,61,19
JacksonDatabind,92,100,6
JacksonDatabind,93,29,11
JacksonDatabind,94,28,22
JacksonDatabind,95,24,6
JacksonDatabind,96,4,31
JacksonDatabind,97,66,13
JacksonDatabind,98,101,8
JacksonDatabind,99,7,11
JacksonDatabind,100,26,8
JacksonDatabind,101,43,7
JacksonDatabind,102,13,14
JacksonDatabind,103,67,52
JacksonDatabind,104,61,18
JacksonDatabind,105,33,8
JacksonDatabind,106,342,32
JacksonDatabind,107,2,5
JacksonDatabind,108,54,41
JacksonDatabind,109,51,39
JacksonDatabind,110,3,47
JacksonDatabind,111,13,55
JacksonDatabind,112,74,8
JacksonXml,1,47,35
JacksonXml,2,68,24
JacksonXml,3,56,8
JacksonXml,4,166,10
JacksonXml,5,39,10
JacksonXml,6,130,19
Jsoup,1,11,15
Jsoup,2,7,9
Jsoup,3,70,42
Jsoup,4,21,9
Jsoup,5,15,4
Jsoup,6,17,2050
Jsoup,7,28,18
Jsoup,8,13,5
Jsoup,9,16,4
Jsoup,10,15,5
Jsoup,11,62,9
Jsoup,12,141,1
Jsoup,13,51,6
Jsoup,14,22,15
Jsoup,15,6,6
Jsoup,16,47,3
Jsoup,17,12,3
Jsoup,18,24,8
Jsoup,19,11,5
Jsoup,20,15,8
Jsoup,21,45,5
Jsoup,22,63,19
Jsoup,23,29,5
Jsoup,24,15,3
Jsoup,25,23,3
Jsoup,26,12,2
Jsoup,27,22,10
Jsoup,28,96,47
Jsoup,29,5,5
Jsoup,30,36,30
Jsoup,31,25,6
Jsoup,32,27,3
Jsoup,33,5,6
Jsoup,34,14,7
Jsoup,35,8,5
Jsoup,36,156,28
Jsoup,37,11,6
Jsoup,38,10,8
Jsoup,39,9,20
Jsoup,40,23,11
Jsoup,41,52,75
Jsoup,42,18,4
Jsoup,43,22,5
Jsoup,44,32,23
Jsoup,45,8,3
Jsoup,46,27,5
Jsoup,47,18,5
Jsoup,48,37,33
Jsoup,49,30,8
Jsoup,50,48,11
Jsoup,51,9,3
Jsoup,52,0,0
Jsoup,53,12,6
Jsoup,54,14,9
Jsoup,55,11,3
Jsoup,56,54,24
Jsoup,57,55,8
Jsoup,58,43,85
Jsoup,59,13,28
Jsoup,60,46,10
Jsoup,61,29,7
Jsoup,62,11,3
Jsoup,63,40,16
Jsoup,64,20,6
Jsoup,65,23,29
Jsoup,66,37,6
Jsoup,67,40,117
Jsoup,68,27,17
Jsoup,69,27,1
Jsoup,70,12,11
Jsoup,71,75,16
Jsoup,72,19,4
Jsoup,73,46,12
Jsoup,74,22,6
Jsoup,75,11,13
Jsoup,76,8,4
Jsoup,77,14,4
Jsoup,78,73,11
Jsoup,79,13,10
Jsoup,80,9,9
Jsoup,81,19,62
Jsoup,82,17,7
Jsoup,83,29,10
Jsoup,84,21,7
Jsoup,85,12,4
Jsoup,86,10,4
Jsoup,87,127,30
Jsoup,88,13,4
Jsoup,89,13,6
Jsoup,90,8,5
Jsoup,91,138,20
Jsoup,92,64,54
Jsoup,93,3,6
JxPath,1,9,0
JxPath,2,21,3
JxPath,3,82,2
JxPath,4,202,20
JxPath,5,28,0
JxPath,6,18,0
JxPath,7,113,97
JxPath,8,19,12
JxPath,9,43,51
JxPath,10,17,2
JxPath,11,22,12
JxPath,12,100,6
JxPath,13,75,114
JxPath,14,19,0
JxPath,15,13,8
JxPath,16,11,0
JxPath,17,35,16
JxPath,18,24,4
JxPath,19,106,16
JxPath,20,42,7
JxPath,21,68,2
JxPath,22,53,25
Lang,1,50,0
Lang,2,0,0
Lang,3,17,17
Lang,4,14,14
Lang,5,65,43
Lang,6,12,1
Lang,7,20,11
Lang,8,26,19
Lang,9,8,1
Lang,10,55,1
Lang,11,15,1
Lang,12,25,25
Lang,13,29,8
Lang,14,80,27
Lang,15,7,16
Lang,16,8,5
Lang,17,19,21
Lang,18,7,12
Lang,19,24,16
Lang,20,13,16
Lang,21,10,0
Lang,22,17,4
Lang,23,84,15
Lang,24,6,2
Lang,26,14,0
Lang,27,8,0
Lang,28,42,3
Lang,29,32,0
Lang,30,1120,66
Lang,31,63,32
Lang,32,25,6
Lang,33,4,4
Lang,34,157,4
Lang,35,21,20
Lang,36,16,0
Lang,37,30,7
Lang,38,14,0
Lang,39,7,0
Lang,40,47,4
Lang,41,70,13
Lang,42,23,0
Lang,43,9,1
Lang,44,15,0
Lang,45,4,2
Lang,46,30,27
Lang,47,19,0
Lang,48,13,4
Lang,49,3,0
Lang,50,53,7
Lang,51,3,0
Lang,52,6,0
Lang,53,66,9
Lang,54,10,0
Lang,55,14,2
Lang,56,13,8
Lang,57,9,0
Lang,58,9,3
Lang,59,9,0
Lang,60,12,0
Lang,61,14,2
Lang,62,16,1
Lang,63,44,20
Lang,64,217,20
Lang,65,112,20
Math,1,16,21
Math,2,16,6
Math,3,12,5
Math,4,22,3
Math,5,4,3
Math,6,87,7
Math,7,76,17
Math,8,17,9
Math,9,19,4
Math,10,27,6
Math,11,23,3
Math,12,48,10
Math,13,36,13
Math,14,41,7
Math,15,11,6
Math,16,65,27
Math,17,19,16
Math,18,16,8
Math,19,44,11
Math,20,23,16
Math,21,209,23
Math,22,36,25
Math,23,49,32
Math,24,35,32
Math,25,28,12
Math,26,7,0
Math,27,12,4
Math,28,25,38
Math,29,32,16
Math,30,14,4
Math,31,72,78
Math,32,55,7
Math,33,20,6
Math,34,25,10
Math,35,54,12
Math,36,36,15
Math,37,38,17
Math,38,87,28
Math,39,59,5
Math,40,26,4
Math,41,31,6
Math,42,16,9
Math,43,46,5
Math,44,68,5
Math,45,35,4
Math,46,10,4
Math,47,24,15
Math,48,7,86
Math,49,34,0
Math,50,7,5
Math,51,27,23
Math,52,26,119
Math,53,5,5
Math,54,18,7
Math,55,30,25
Math,56,24,3
Math,57,84,3
Math,58,82,140
Math,59,20,4
Math,60,24,19
Math,61,32,91
Math,62,13,21
Math,63,10,79
Math,64,37,36
Math,65,12,15
Math,66,102,59
Math,67,8,31
Math,68,38,35
Math,69,23,4
Math,70,8,3
Math,71,117,45
Math,72,15,4
Math,73,10,13
Math,74,22,14
Math,75,4,4
Math,76,114,50
Math,77,47,65
Math,78,82,26
Math,79,26,5
Math,80,48,4
Math,81,38,16
Math,82,19,8
Math,83,14,67
Math,84,149,11
Math,85,25,9
Math,86,94,8
Math,87,18,7
Math,88,99,37
Math,89,14,6
Math,90,19,16
Math,91,13,17
Math,92,159,45
Math,93,13,18
Math,94,5,3
Math,95,19,8
Math,96,8,7
Math,97,31,46
Math,98,30,4
Math,100,44,9
Math,101,10,4
Math,102,48,27
Math,103,32,14
Math,104,18,5
Math,105,14,20
Math,106,25,16
Mockito,1,13,2
Mockito,2,61,11
Mockito,3,16,60
Mockito,4,105,25
Mockito,5,264,2
Mockito,6,116,23
Mockito,7,33,4
Mockito,8,13,0
Mockito,9,34,10
Mockito,10,43,33
Mockito,11,64,19
Mockito,12,21,3
Mockito,13,9,6
Mockito,14,38,34
Mockito,15,168,160
Mockito,16,67,4
Mockito,17,59,31
Mockito,18,27,24
Mockito,19,56,41
Mockito,20,5,65
Mockito,21,23,16
Mockito,22,19,0
Mockito,23,70,51
Mockito,24,35,4
Mockito,25,373,711
Mockito,26,131,45
Mockito,27,26,16
Mockito,28,18,79
Mockito,29,24,4
Mockito,30,21,78
Mockito,31,30,13
Mockito,32,40,2
Mockito,33,87,9
Mockito,34,60,0
Mockito,35,15,7
Mockito,36,22,0
Mockito,37,86,33
Mockito,38,46,1
Time,1,14,0
Time,2,32,8
Time,3,205,29
Time,4,19,10
Time,5,58,9
Time,6,165,13
Time,7,72,10
Time,8,29,35
Time,9,26,16
Time,10,70,7
Time,11,33,7
Time,12,112,28
Time,13,28,5
Time,14,91,6
Time,15,134,32
Time,16,50,70
Time,17,57,21
Time,18,32,10
Time,19,27,12
Time,20,20,3
Time,21,0,0
Time,22,0,106
Time,23,0,85
Time,24,0,86
Time,25,0,117
Time,26,0,200
Time,27,0,37
